"Product ID","Category","Product Name","Description","Image URL","Price (INR)","Weight (kg)","Dimensions","Material","Shipping Weight (kg)"
"001","Eco-Friendly Bags","Hemp Tote Bag","Durable, eco-friendly tote bag made from hemp","https://example.com/image1.jpg",499,0.2,30x20x10,"Hemp","0.5"
"002","Reusable Water Bottles","Stainless Steel Bottle","BPA-free, insulated stainless steel water bottle","https://example.com/image2.jpg",999,0.3,20x10x10,"Stainless Steel","0.5"
"003","Natural Soaps","Lavender Soap","Handmade, natural soap with lavender essential oil","https://example.com/image3.jpg",149,0.1,10x10x5,"Natural Ingredients","0.1"
"004","Eco-Friendly Candles","Beeswax Candle","Sustainable, eco-friendly candle made from beeswax","https://example.com/image4.jpg",299,0.2,15x10x10,"Beeswax","0.2"
"005","Eco-Friendly Home Care","Eco-Friendly Dish Soap","Biodegradable, eco-friendly dish soap","https://example.com/image5.jpg",199,0.1,10x10x5,"Natural Ingredients","0.1"
"006","Eco-Friendly Personal Care","Coconut Oil","Natural, organic coconut oil for skin and hair care","https://example.com/image6.jpg",399,0.2,15x10x10,"Coconut Oil","0.2"
"007","Eco-Friendly Kitchen"," Bamboo Spoons","Durable, eco-friendly bamboo spoons","https://example.com/image7.jpg",99,0.1,20x5x5,"Bamboo","0.1"
"008","Eco-Friendly Cleaning","Eco-Friendly All-Purpose Cleaner","Biodegradable, eco-friendly all-purpose cleaner","https://example.com/image8.jpg",299,0.2,15x10x10,"Natural Ingredients","0.2"
"009","Eco-Friendly Home Decor","Macrame Plant Hanger","Handmade, eco-friendly macrame plant hanger","https://example.com/image9.jpg",499,0.3,30x20x10,"Cotton Rope","0.5"
"010","Eco-Friendly Fashion","Organic Cotton T-Shirt","Sustainable, eco-friendly organic cotton t-shirt","https://example.com/image10.jpg",699,0.2,30x20x10,"Organic Cotton","0.5"
